Taxon	JR011	JR015	JR045	JR001	JR004	JR005	JR007	JR006	JR009	JR010	JR012	JR013	JR016	JR017	JR018	JR019	JR020	JR021	JR022	JR023	JR024	JR026	JR027	JR029	JR030	JR031	JR032	JR033	JR034	JR035	JR036	JR037	JR038	JR040	JR041	JR042	JR043	JR046	JR049	JR048	JR051	JR052	JR054	JR055	JR057	JR058	JR059	JR060	JR061	JR062	JR063	JR065	JR066	JR067	JR068	JR069	JR071	JR070	JR072	JR074	JR073	JR076	JR077	JR075	JR078	JR079	JR080	JR081	JR082	JR083	JR084	JR085	JR087	JR088	JR089	JR090	JR091	JR092	JR093	JR094	JR095	JR096	JR050	JR053	JR086	JR002	JR003	JR008	JR014	JR025	JR028	JR039	JR044	JR047	JR056	JR064
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	3.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	0.0	3.0	1.0	0.0	0.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	2.0	0.0	0.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	2.0	3.0	7.0	1.0	0.0	0.0	0.0	1.0	0.0	10.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	7.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.0	1.0	2.0	10.0	0.0	0.0	5.0	0.0	4.0	3.0	0.0	8.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	5.0	7.0	1.0	6.0	3.0	3.0	2.0	0.0	1.0	1.0	0.0	10.0	4.0	0.0	3.0	2.0	5.0	2.0	4.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	85.0	38.0	130.0	103.0	17.0	76.0	21.0	28.0	31.0	10.0	30.0	289.0	22.0	87.0	38.0	95.0	38.0	36.0	74.0	52.0	114.0	160.0	97.0	21.0	90.0	24.0	82.0	23.0	81.0	89.0	45.0	29.0	38.0	21.0	47.0	39.0	51.0	17.0	51.0	77.0	233.0	76.0	77.0	129.0	28.0	118.0	79.0	15.0	374.0	25.0	118.0	52.0	73.0	40.0	288.0	61.0	20.0	29.0	62.0	39.0	180.0	77.0	579.0	151.0	193.0	200.0	266.0	85.0	41.0	8.0	197.0	33.0	1023.0	224.0	33.0	82.0	31.0	81.0	57.0	264.0	107.0	19.0	33.0	132.0	21.0	74.0	21.0	65.0	67.0	71.0	47.0	49.0	64.0	39.0	643.0	166.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	5.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	1.0	0.0	16.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	4.0	4.0	0.0	0.0	1.0	44.0	1.0	2.0	79.0	1.0	1.0	5.0	5.0	11.0	2.0	1.0	3.0	4.0	9.0	4.0	29.0	7.0	3.0	1.0	2.0	2.0	1.0	11.0	3.0	22.0	6.0	0.0	4.0	1.0	9.0	10.0	6.0	4.0	0.0	0.0	20.0	182.0	167.0	225.0	0.0	17.0	77.0	4.0	39.0	18.0	0.0	48.0	15.0	56.0	18.0	0.0	4.0	43.0	184.0	422.0	30.0	60.0	552.0	25.0	56.0	21.0	544.0	12.0	127.0	18.0	214.0	306.0	26.0	32.0	63.0	9.0	20.0	660.0	0.0	10.0	153.0	1.0	37.0	98.0	0.0	0.0	2.0	1.0	1.0	2.0	6.0	8.0	2.0	14.0	136.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	15.0	0.0	4.0	1.0	0.0	3.0	2.0	9.0	0.0	6.0	0.0	0.0	0.0	5.0	4.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other	0.0	0.0	0.0	13.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	28.0	1.0	52.0	5.0	2.0	16.0	1.0	0.0	30.0	0.0	1.0	1.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	28.0	59.0	0.0	0.0	9.0	29.0	17.0	20.0	0.0	0.0	9.0	29.0	0.0	0.0	63.0	81.0	0.0	3.0	2.0	13.0	1.0	163.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
